unique_id,Naive_mape,AutoETS_mape,LightGBM_mape,LightGBM_dir_acc,AutoETS_dir_acc
ADANIENT.NS,1.5292171928012763,1.532057083575217,1.4791692157796843,36.84210526315789,53.44827586206896
ADANIPORTS.NS,1.0248714900186566,1.0233723905762477,1.0358073079094705,54.385964912280706,56.896551724137936
APOLLOHOSP.NS,0.8404377669978341,0.8438057382477309,0.8801374351217058,42.10526315789473,34.48275862068966
ASIANPAINT.NS,1.1867495188667758,1.1931057899982696,1.1545463946157373,49.122807017543856,43.103448275862064
AXISBANK.NS,0.8671130078881321,0.8616550017545906,0.8781692683363324,63.1578947368421,60.3448275862069
BAJAJ-AUTO.NS,0.8388055761826009,0.8385580255795798,0.8790851888465268,54.385964912280706,53.44827586206896
BAJAJFINSV.NS,0.9378840242057753,0.9378825858416284,0.940447922469735,49.09090909090909,48.214285714285715
BAJFINANCE.NS,1.1364377839176898,1.4329641760398897,1.1148050349410445,44.642857142857146,45.614035087719294
BHARTIARTL.NS,0.7615129533863554,0.771161425430943,0.694193833340859,47.368421052631575,50.0
BPCL.NS,1.0808771485015556,1.206199112258517,1.0815074590980027,42.10526315789473,48.275862068965516
BRITANNIA.NS,0.8964239869498294,0.8964658874951147,0.8664035128405054,45.614035087719294,50.0
CIPLA.NS,0.7043184730886971,0.7661261277972362,0.726854714341629,45.614035087719294,44.827586206896555
COALINDIA.NS,1.0562861766195741,1.056670060094928,1.0574019381143327,54.385964912280706,50.0
DIVISLAB.NS,0.9295249187457946,0.9359196527230872,0.919953459664894,53.57142857142857,40.35087719298245
DRREDDY.NS,0.7318796874684036,0.742901428065213,0.7537253177924096,47.368421052631575,44.827586206896555
EICHERMOT.NS,0.8901314580220202,1.4910503907696482,0.8563771325700837,56.14035087719298,51.724137931034484
GRASIM.NS,0.784237239958508,0.7634995498060645,0.6848231414992882,45.614035087719294,68.96551724137932
HCLTECH.NS,0.9092593005453004,0.9063173334036193,0.906864811812512,63.1578947368421,55.172413793103445
HDFCBANK.NS,0.5810458963603069,0.5845907240321792,0.6002152864326887,43.859649122807014,43.103448275862064
HDFCLIFE.NS,0.8585426140882849,0.8585407134512998,0.848343808329073,47.368421052631575,46.55172413793103
HEROMOTOCO.NS,1.1222336426723858,1.1223922080957263,1.2050179622436556,42.10526315789473,50.0
HINDALCO.NS,1.315184971430163,1.31220885591798,1.2488257605299664,64.91228070175438,63.793103448275865
HINDUNILVR.NS,0.7927215659807519,0.7938603636572283,0.8103851656735696,49.122807017543856,46.55172413793103
ICICIBANK.NS,0.7936967078023428,0.7949228870855878,0.7734729794231737,45.614035087719294,46.55172413793103
INDUSINDBK.NS,1.1571654679070726,1.1562744642808742,1.1604289498757692,56.14035087719298,56.896551724137936
INFY.NS,0.9644858154131458,0.9637556419520158,0.9857829020979222,52.63157894736842,55.172413793103445
ITC.NS,0.7894847632447287,0.7958284034626806,0.8081143682610789,42.857142857142854,45.614035087719294
JSWSTEEL.NS,1.138847168408283,1.137641599878473,1.1548060990471591,52.63157894736842,56.896551724137936
KOTAKBANK.NS,0.6396310634899801,0.6410571597345872,0.6586498056354726,41.07142857142857,47.368421052631575
LT.NS,0.703182695339605,0.7763830885623144,0.7212510519990168,45.614035087719294,46.55172413793103
LTIM.NS,1.111665550212267,1.1145495390826887,1.0835175277038962,50.877192982456144,44.827586206896555
M&M.NS,0.9106568429388152,0.9121779513606237,0.9129220957991371,36.84210526315789,53.44827586206896
MARUTI.NS,0.9018370798466381,0.9023746351207821,0.9259623687861963,50.877192982456144,48.275862068965516
NESTLEIND.NS,0.692492165498709,0.6930539165225841,0.7152704047996735,47.368421052631575,48.275862068965516
NTPC.NS,0.778246681575803,0.7758335528174173,0.7690906443902437,58.18181818181818,58.92857142857143
ONGC.NS,1.0317399074251052,1.0352779400322007,1.063398834064076,47.368421052631575,50.0
POWERGRID.NS,0.7780093045558902,0.7835210985316926,0.7331372557043152,52.63157894736842,43.103448275862064
RELIANCE.NS,0.7624977741605583,0.8084984807831428,0.7464449568519411,50.0,45.614035087719294
SBILIFE.NS,0.6949018634637678,0.6948853544036839,0.6916974393272671,50.877192982456144,60.3448275862069
SBIN.NS,0.7276638353655659,0.7270576094723105,0.7368324507305207,54.385964912280706,53.44827586206896
SHREECEM.NS,0.747221215979597,0.7472928079641361,0.8421262200833628,46.42857142857143,52.63157894736842
SUNPHARMA.NS,0.7931666087696819,0.7897306064396559,0.8129184442436445,52.63157894736842,53.44827586206896
TATACONSUM.NS,1.100622741087441,1.100381375165105,1.0891472374585354,52.63157894736842,51.724137931034484
TATASTEEL.NS,1.2624505847281957,1.51773826368408,1.253236646019173,50.877192982456144,50.0
TCS.NS,0.8504989484655979,0.8434569907006211,0.867405392015007,57.89473684210527,62.06896551724138
TECHM.NS,1.06715413569323,1.0616437220808344,1.059985665649767,66.07142857142857,61.40350877192983
TITAN.NS,0.7058490446332748,0.7071545158739108,0.7158259707610286,49.122807017543856,48.275862068965516
ULTRACEMCO.NS,0.7481383538141795,0.7478023340400317,0.7795560277891687,49.122807017543856,51.724137931034484
WIPRO.NS,1.0793483990722224,1.0827907985205714,1.070338531998707,56.14035087719298,50.0
