unique_id,RWD,AutoETS,lgb
ADANIENT.NS,9.237729890194915,9.336091837902737,13.616199274519273
ADANIPORTS.NS,3.0166050017517985,3.025269450838901,6.087448713978023
APOLLOHOSP.NS,9.265174249066128,9.008012784669253,19.358118441509774
ASIANPAINT.NS,10.510130932839044,11.155460401955676,7.647342200168245
AXISBANK.NS,3.017228643906899,2.7571749258730627,1.855005971275743
BAJAJ-AUTO.NS,4.056712455687557,4.26420097506526,6.583587973291048
BAJAJFINSV.NS,2.673433425527271,2.291768740380564,6.680631489043752
BAJFINANCE.NS,7.246175181314873,6.6886282857149535,12.562416519519351
BHARTIARTL.NS,2.8528437450461834,4.796487257406426,11.206988409653523
BPCL.NS,1.97477263954605,2.3274405486264795,7.179011085239203
BRITANNIA.NS,1.5127044321839347,1.5310827146198829,4.143772632225326
CIPLA.NS,3.079527042712386,2.8743503316058368,2.7001228181546226
COALINDIA.NS,4.806824022462684,5.278566273359512,3.1644594915172584
DIVISLAB.NS,7.086585296819031,7.453709392260194,9.087576011779005
DRREDDY.NS,3.414329000178272,3.6907880318644213,4.262046310606417
EICHERMOT.NS,3.240168905291719,2.770306360122033,5.036142185724078
GRASIM.NS,4.144533902818628,4.91959747042173,9.961463180067913
HCLTECH.NS,6.704687005124571,6.855430669482562,2.932048308722588
HDFCBANK.NS,2.474278315243151,2.5593997153773453,5.787874916604891
HDFCLIFE.NS,2.295147394216231,2.437920052223915,2.8692663890334003
HEROMOTOCO.NS,7.834639110680984,7.988745227788413,9.474444941027544
HINDALCO.NS,6.163828789633761,6.1744779075210445,4.5416528791654995
HINDUNILVR.NS,3.073479604683522,2.9670069174737814,5.7076613997136185
ICICIBANK.NS,2.22410935837663,2.345652329606696,2.0130851157409237
INDUSINDBK.NS,8.127221485812173,8.329300723327902,5.2823499444176605
INFY.NS,7.638277701025524,7.47146754505649,3.706474183366948
ITC.NS,9.288431881717809,9.14777030480023,14.357743963015624
JSWSTEEL.NS,3.5156130544398776,3.4081722490434534,5.346248259822891
KOTAKBANK.NS,1.634592041969903,1.615906532600479,2.24921324528346
LT.NS,2.5926049661027557,2.3369730256035224,8.286581528905685
LTIM.NS,5.789553805642948,6.0842635482390595,5.04584208463468
M&M.NS,2.5370336798361275,2.8859648254049004,3.5572214116948846
MARUTI.NS,4.5356349511339475,4.634368381561978,5.688454365402797
NESTLEIND.NS,1.7510130486561521,1.7077272004137969,4.814526601707004
NTPC.NS,2.3485671866032383,2.3421915015863366,2.71606849447642
ONGC.NS,2.9713151579675796,3.820759944662443,10.484837891541327
POWERGRID.NS,4.280989371355734,3.709910159320932,4.916592427178653
RELIANCE.NS,4.07107762659254,3.900924674432285,7.413693227733208
SBILIFE.NS,1.7535765428706371,2.6303570777516154,2.374188025767909
SBIN.NS,2.809247120552395,2.920976141769567,2.405181118347987
SHREECEM.NS,3.844556975097259,3.591943675233252,6.016188987881021
SUNPHARMA.NS,3.7380122747239626,3.6350573393166856,3.868086537624539
TATACONSUM.NS,1.5891460910560378,1.5081352662313923,5.721940991597685
TATASTEEL.NS,4.752660406225142,5.073142300401385,4.691161713199072
TCS.NS,5.763396395102102,5.788180263390035,4.288416884793626
TECHM.NS,9.593623997343382,10.826906325683975,8.067634591227266
TITAN.NS,3.3542501294043965,3.458177354714779,2.3962970207342162
ULTRACEMCO.NS,2.099497848015691,2.1154102122848695,3.5868500273982993
WIPRO.NS,5.902927350333206,6.553690901748081,5.89127165375766
